Threshold,TP,FP,FN,TN,TPR,FPR,PPV
0,151,1111,0,0,1.00,1.00,0.88
5,151,1111,0,0,1.00,1.00,0.88
10,151,1111,0,0,1.00,1.00,0.88
15,151,1111,0,0,1.00,1.00,0.88
20,151,1111,0,0,1.00,1.00,0.88
25,151,1111,0,0,1.00,1.00,0.88
30,151,1111,0,0,1.00,1.00,0.88
35,151,1111,0,0,1.00,1.00,0.88
40,151,1111,0,0,1.00,1.00,0.88
45,151,1111,0,0,1.00,1.00,0.88
50,151,1111,0,0,1.00,1.00,0.88
55,151,1111,0,0,1.00,1.00,0.88
60,151,1111,0,0,1.00,1.00,0.88
65,151,1111,0,0,1.00,1.00,0.88
70,151,1111,0,0,1.00,1.00,0.88
75,151,1111,0,0,1.00,1.00,0.88
80,151,1111,0,0,1.00,1.00,0.88
85,151,1111,0,0,1.00,1.00,0.88
90,151,1111,0,0,1.00,1.00,0.88
95,151,1111,0,0,1.00,1.00,0.88
100,151,1111,0,0,1.00,1.00,0.88
105,151,1109,0,2,1.00,1.00,0.88
110,151,1108,0,3,1.00,1.00,0.88
115,151,1106,0,5,1.00,1.00,0.88
120,151,1091,0,20,1.00,0.98,0.88
125,151,1063,0,48,1.00,0.96,0.88
130,151,1036,0,75,1.00,0.93,0.87
135,151,1009,0,102,1.00,0.91,0.87
140,151,972,0,139,1.00,0.87,0.87
145,151,908,0,203,1.00,0.82,0.86
150,151,824,0,287,1.00,0.74,0.85
155,151,723,0,388,1.00,0.65,0.83
160,151,616,0,495,1.00,0.55,0.80
165,151,534,0,577,1.00,0.48,0.78
170,151,465,0,646,1.00,0.42,0.75
175,151,393,0,718,1.00,0.35,0.72
180,151,322,0,789,1.00,0.29,0.68
185,150,246,1,865,0.99,0.22,0.62
190,149,173,2,938,0.99,0.16,0.54
195,148,118,3,993,0.98,0.11,0.44
200,147,87,4,1024,0.97,0.08,0.37
